grid,skyvector_url,lsalt_100ft
"[[152.0,-27.0],[152.5,-27.0],[152.5,-26.5],[152.0,-26.5],[152.0,-27.0]]",https://skyvector.com/?fpl=2700S15200E%202700S15230E%202630S15230E%202630S15200E%202700S15200E,35
"[[152.0,-26.5],[152.5,-26.5],[152.5,-26.0],[152.0,-26.0],[152.0,-26.5]]",https://skyvector.com/?fpl=2630S15200E%202630S15230E%202600S15230E%202600S15200E%202630S15200E,39
"[[152.5,-27.0],[153.0,-27.0],[153.0,-26.5],[152.5,-26.5],[152.5,-27.0]]",https://skyvector.com/?fpl=2700S15230E%202700S15300E%202630S15300E%202630S15230E%202700S15230E,34
"[[152.5,-26.5],[153.0,-26.5],[153.0,-26.0],[152.5,-26.0],[152.5,-26.5]]",https://skyvector.com/?fpl=2630S15230E%202630S15300E%202600S15300E%202600S15230E%202630S15230E,30
"[[153.0,-27.0],[153.5,-27.0],[153.5,-26.5],[153.0,-26.5],[153.0,-27.0]]",https://skyvector.com/?fpl=2700S15300E%202700S15330E%202630S15330E%202630S15300E%202700S15300E,16
"[[153.0,-26.5],[153.5,-26.5],[153.5,-26.0],[153.0,-26.0],[153.0,-26.5]]",https://skyvector.com/?fpl=2630S15300E%202630S15330E%202600S15330E%202600S15300E%202630S15300E,18
"[[153.0,-28.0],[153.5,-28.0],[153.5,-27.5],[153.0,-27.5],[153.0,-28.0]]",https://skyvector.com/?fpl=2800S15300E%202800S15330E%202730S15330E%202730S15300E%202800S15300E,29
"[[153.0,-27.5],[153.5,-27.5],[153.5,-27.0],[153.0,-27.0],[153.0,-27.5]]",https://skyvector.com/?fpl=2730S15300E%202730S15330E%202700S15330E%202700S15300E%202730S15300E,19
"[[153.5,-28.0],[154.0,-28.0],[154.0,-27.5],[153.5,-27.5],[153.5,-28.0]]",https://skyvector.com/?fpl=2800S15330E%202800S15400E%202730S15400E%202730S15330E%202800S15330E,11
"[[153.5,-27.5],[154.0,-27.5],[154.0,-27.0],[153.5,-27.0],[153.5,-27.5]]",https://skyvector.com/?fpl=2730S15330E%202730S15400E%202700S15400E%202700S15330E%202730S15330E,14
"[[151.0,-28.0],[151.5,-28.0],[151.5,-27.5],[151.0,-27.5],[151.0,-28.0]]",https://skyvector.com/?fpl=2800S15100E%202800S15130E%202730S15130E%202730S15100E%202800S15100E,31
"[[151.0,-27.5],[151.5,-27.5],[151.5,-27.0],[151.0,-27.0],[151.0,-27.5]]",https://skyvector.com/?fpl=2730S15100E%202730S15130E%202700S15130E%202700S15100E%202730S15100E,28
"[[151.5,-28.0],[152.0,-28.0],[152.0,-27.5],[151.5,-27.5],[151.5,-28.0]]",https://skyvector.com/?fpl=2800S15130E%202800S15200E%202730S15200E%202730S15130E%202800S15130E,34
"[[151.5,-27.5],[152.0,-27.5],[152.0,-27.0],[151.5,-27.0],[151.5,-27.5]]",https://skyvector.com/?fpl=2730S15130E%202730S15200E%202700S15200E%202700S15130E%202730S15130E,35
"[[152.0,-28.0],[152.5,-28.0],[152.5,-27.5],[152.0,-27.5],[152.0,-28.0]]",https://skyvector.com/?fpl=2800S15200E%202800S15230E%202730S15230E%202730S15200E%202800S15200E,47
"[[152.0,-27.5],[152.5,-27.5],[152.5,-27.0],[152.0,-27.0],[152.0,-27.5]]",https://skyvector.com/?fpl=2730S15200E%202730S15230E%202700S15230E%202700S15200E%202730S15200E,37
"[[152.5,-28.0],[153.0,-28.0],[153.0,-27.5],[152.5,-27.5],[152.5,-28.0]]",https://skyvector.com/?fpl=2800S15230E%202800S15300E%202730S15300E%202730S15230E%202800S15230E,32
"[[152.5,-27.5],[153.0,-27.5],[153.0,-27.0],[152.5,-27.0],[152.5,-27.5]]",https://skyvector.com/?fpl=2730S15230E%202730S15300E%202700S15300E%202700S15230E%202730S15230E,36
"[[148.0,-29.0],[148.5,-29.0],[148.5,-28.5],[148.0,-28.5],[148.0,-29.0]]",https://skyvector.com/?fpl=2900S14800E%202900S14830E%202830S14830E%202830S14800E%202900S14800E,17
"[[148.0,-28.5],[148.5,-28.5],[148.5,-28.0],[148.0,-28.0],[148.0,-28.5]]",https://skyvector.com/?fpl=2830S14800E%202830S14830E%202800S14830E%202800S14800E%202830S14800E,17
"[[148.5,-29.0],[149.0,-29.0],[149.0,-28.5],[148.5,-28.5],[148.5,-29.0]]",https://skyvector.com/?fpl=2900S14830E%202900S14900E%202830S14900E%202830S14830E%202900S14830E,18
"[[148.5,-28.5],[149.0,-28.5],[149.0,-28.0],[148.5,-28.0],[148.5,-28.5]]",https://skyvector.com/?fpl=2830S14830E%202830S14900E%202800S14900E%202800S14830E%202830S14830E,17
"[[141.0,-27.0],[141.5,-27.0],[141.5,-26.5],[141.0,-26.5],[141.0,-27.0]]",https://skyvector.com/?fpl=2700S14100E%202700S14130E%202630S14130E%202630S14100E%202700S14100E,16
"[[141.0,-26.5],[141.5,-26.5],[141.5,-26.0],[141.0,-26.0],[141.0,-26.5]]",https://skyvector.com/?fpl=2630S14100E%202630S14130E%202600S14130E%202600S14100E%202630S14100E,19
