grid,skyvector_url,lsalt_100ft
"[[148.0,-40.0],[148.5,-40.0],[148.5,-39.5],[148.0,-39.5],[148.0,-40.0]]",https://skyvector.com/?fpl=4000S14800E%204000S14830E%203930S14830E%203930S14800E%204000S14800E,17
"[[147.0,-40.0],[147.5,-40.0],[147.5,-39.5],[147.0,-39.5],[147.0,-40.0]]",https://skyvector.com/?fpl=4000S14700E%204000S14730E%203930S14730E%203930S14700E%204000S14700E,16
"[[147.0,-39.5],[147.5,-39.5],[147.5,-39.0],[147.0,-39.0],[147.0,-39.5]]",https://skyvector.com/?fpl=3930S14700E%203930S14730E%203900S14730E%203900S14700E%203930S14700E,19
"[[147.5,-40.0],[148.0,-40.0],[148.0,-39.5],[147.5,-39.5],[147.5,-40.0]]",https://skyvector.com/?fpl=4000S14730E%204000S14800E%203930S14800E%203930S14730E%204000S14730E,20
"[[147.0,-41.0],[147.5,-41.0],[147.5,-40.5],[147.0,-40.5],[147.0,-41.0]]",https://skyvector.com/?fpl=4100S14700E%204100S14730E%204030S14730E%204030S14700E%204100S14700E,13
"[[147.5,-41.0],[148.0,-41.0],[148.0,-40.5],[147.5,-40.5],[147.5,-41.0]]",https://skyvector.com/?fpl=4100S14730E%204100S14800E%204030S14800E%204030S14730E%204100S14730E,27
"[[147.5,-40.5],[148.0,-40.5],[148.0,-40.0],[147.5,-40.0],[147.5,-40.5]]",https://skyvector.com/?fpl=4030S14730E%204030S14800E%204000S14800E%204000S14730E%204030S14730E,24
"[[148.0,-41.0],[148.5,-41.0],[148.5,-40.5],[148.0,-40.5],[148.0,-41.0]]",https://skyvector.com/?fpl=4100S14800E%204100S14830E%204030S14830E%204030S14800E%204100S14800E,18
"[[148.0,-40.5],[148.5,-40.5],[148.5,-40.0],[148.0,-40.0],[148.0,-40.5]]",https://skyvector.com/?fpl=4030S14800E%204030S14830E%204000S14830E%204000S14800E%204030S14800E,35
"[[148.0,-42.0],[148.5,-42.0],[148.5,-41.5],[148.0,-41.5],[148.0,-42.0]]",https://skyvector.com/?fpl=4200S14800E%204200S14830E%204130S14830E%204130S14800E%204200S14800E,39
"[[148.0,-41.5],[148.5,-41.5],[148.5,-41.0],[148.0,-41.0],[148.0,-41.5]]",https://skyvector.com/?fpl=4130S14800E%204130S14830E%204100S14830E%204100S14800E%204130S14800E,37
"[[147.0,-42.0],[147.5,-42.0],[147.5,-41.5],[147.0,-41.5],[147.0,-42.0]]",https://skyvector.com/?fpl=4200S14700E%204200S14730E%204130S14730E%204130S14700E%204200S14700E,50
"[[147.0,-41.5],[147.5,-41.5],[147.5,-41.0],[147.0,-41.0],[147.0,-41.5]]",https://skyvector.com/?fpl=4130S14700E%204130S14730E%204100S14730E%204100S14700E%204130S14700E,56
"[[147.5,-42.0],[148.0,-42.0],[148.0,-41.5],[147.5,-41.5],[147.5,-42.0]]",https://skyvector.com/?fpl=4200S14730E%204200S14800E%204130S14800E%204130S14730E%204200S14730E,61
"[[147.5,-41.5],[148.0,-41.5],[148.0,-41.0],[147.5,-41.0],[147.5,-41.5]]",https://skyvector.com/?fpl=4130S14730E%204130S14800E%204100S14800E%204100S14730E%204130S14730E,54
"[[146.0,-42.0],[146.5,-42.0],[146.5,-41.5],[146.0,-41.5],[146.0,-42.0]]",https://skyvector.com/?fpl=4200S14600E%204200S14630E%204130S14630E%204130S14600E%204200S14600E,63
"[[146.0,-41.5],[146.5,-41.5],[146.5,-41.0],[146.0,-41.0],[146.0,-41.5]]",https://skyvector.com/?fpl=4130S14600E%204130S14630E%204100S14630E%204100S14600E%204130S14600E,50
"[[146.5,-42.0],[147.0,-42.0],[147.0,-41.5],[146.5,-41.5],[146.5,-42.0]]",https://skyvector.com/?fpl=4200S14630E%204200S14700E%204130S14700E%204130S14630E%204200S14630E,56
"[[146.5,-41.5],[147.0,-41.5],[147.0,-41.0],[146.5,-41.0],[146.5,-41.5]]",https://skyvector.com/?fpl=4130S14630E%204130S14700E%204100S14700E%204100S14630E%204130S14630E,30
"[[145.0,-42.0],[145.5,-42.0],[145.5,-41.5],[145.0,-41.5],[145.0,-42.0]]",https://skyvector.com/?fpl=4200S14500E%204200S14530E%204130S14530E%204130S14500E%204200S14500E,46
"[[145.0,-41.5],[145.5,-41.5],[145.5,-41.0],[145.0,-41.0],[145.0,-41.5]]",https://skyvector.com/?fpl=4130S14500E%204130S14530E%204100S14530E%204100S14500E%204130S14500E,39
"[[145.5,-42.0],[146.0,-42.0],[146.0,-41.5],[145.5,-41.5],[145.5,-42.0]]",https://skyvector.com/?fpl=4200S14530E%204200S14600E%204130S14600E%204130S14530E%204200S14530E,60
"[[145.5,-41.5],[146.0,-41.5],[146.0,-41.0],[145.5,-41.0],[145.5,-41.5]]",https://skyvector.com/?fpl=4130S14530E%204130S14600E%204100S14600E%204100S14530E%204130S14530E,54
"[[144.5,-42.0],[145.0,-42.0],[145.0,-41.5],[144.5,-41.5],[144.5,-42.0]]",https://skyvector.com/?fpl=4200S14430E%204200S14500E%204130S14500E%204130S14430E%204200S14430E,21
"[[144.5,-41.5],[145.0,-41.5],[145.0,-41.0],[144.5,-41.0],[144.5,-41.5]]",https://skyvector.com/?fpl=4130S14430E%204130S14500E%204100S14500E%204100S14430E%204130S14430E,35
"[[148.0,-43.0],[148.5,-43.0],[148.5,-42.5],[148.0,-42.5],[148.0,-43.0]]",https://skyvector.com/?fpl=4300S14800E%204300S14830E%204230S14830E%204230S14800E%204300S14800E,33
"[[148.0,-42.5],[148.5,-42.5],[148.5,-42.0],[148.0,-42.0],[148.0,-42.5]]",https://skyvector.com/?fpl=4230S14800E%204230S14830E%204200S14830E%204200S14800E%204230S14800E,30
