grid,skyvector_url,lsalt_100ft
"[[148.0,-37.0],[148.5,-37.0],[148.5,-36.5],[148.0,-36.5],[148.0,-37.0]]",https://skyvector.com/?fpl=3700S14800E%203700S14830E%203630S14830E%203630S14800E%203700S14800E,79
"[[148.0,-36.5],[148.5,-36.5],[148.5,-36.0],[148.0,-36.0],[148.0,-36.5]]",https://skyvector.com/?fpl=3630S14800E%203630S14830E%203600S14830E%203600S14800E%203630S14800E,83
"[[148.5,-37.0],[149.0,-37.0],[149.0,-36.5],[148.5,-36.5],[148.5,-37.0]]",https://skyvector.com/?fpl=3700S14830E%203700S14900E%203630S14900E%203630S14830E%203700S14830E,57
"[[148.5,-36.5],[149.0,-36.5],[149.0,-36.0],[148.5,-36.0],[148.5,-36.5]]",https://skyvector.com/?fpl=3630S14830E%203630S14900E%203600S14900E%203600S14830E%203630S14830E,68
"[[147.0,-37.0],[147.5,-37.0],[147.5,-36.5],[147.0,-36.5],[147.0,-37.0]]",https://skyvector.com/?fpl=3700S14700E%203700S14730E%203630S14730E%203630S14700E%203700S14700E,75
"[[147.0,-36.5],[147.5,-36.5],[147.5,-36.0],[147.0,-36.0],[147.0,-36.5]]",https://skyvector.com/?fpl=3630S14700E%203630S14730E%203600S14730E%203600S14700E%203630S14700E,45
"[[147.5,-37.0],[148.0,-37.0],[148.0,-36.5],[147.5,-36.5],[147.5,-37.0]]",https://skyvector.com/?fpl=3700S14730E%203700S14800E%203630S14800E%203630S14730E%203700S14730E,67
"[[147.5,-36.5],[148.0,-36.5],[148.0,-36.0],[147.5,-36.0],[147.5,-36.5]]",https://skyvector.com/?fpl=3630S14730E%203630S14800E%203600S14800E%203600S14730E%203630S14730E,60
"[[146.0,-37.0],[146.5,-37.0],[146.5,-36.5],[146.0,-36.5],[146.0,-37.0]]",https://skyvector.com/?fpl=3700S14600E%203700S14630E%203630S14630E%203630S14600E%203700S14600E,48
"[[146.0,-36.5],[146.5,-36.5],[146.5,-36.0],[146.0,-36.0],[146.0,-36.5]]",https://skyvector.com/?fpl=3630S14600E%203630S14630E%203600S14630E%203600S14600E%203630S14600E,27
"[[146.5,-37.0],[147.0,-37.0],[147.0,-36.5],[146.5,-36.5],[146.5,-37.0]]",https://skyvector.com/?fpl=3700S14630E%203700S14700E%203630S14700E%203630S14630E%203700S14630E,65
"[[146.5,-36.5],[147.0,-36.5],[147.0,-36.0],[146.5,-36.0],[146.5,-36.5]]",https://skyvector.com/?fpl=3630S14630E%203630S14700E%203600S14700E%203600S14630E%203630S14630E,50
"[[145.0,-37.0],[145.5,-37.0],[145.5,-36.5],[145.0,-36.5],[145.0,-37.0]]",https://skyvector.com/?fpl=3700S14500E%203700S14530E%203630S14530E%203630S14500E%203700S14500E,31
"[[145.0,-36.5],[145.5,-36.5],[145.5,-36.0],[145.0,-36.0],[145.0,-36.5]]",https://skyvector.com/?fpl=3630S14500E%203630S14530E%203600S14530E%203600S14500E%203630S14500E,15
"[[145.5,-37.0],[146.0,-37.0],[146.0,-36.5],[145.5,-36.5],[145.5,-37.0]]",https://skyvector.com/?fpl=3700S14530E%203700S14600E%203630S14600E%203630S14530E%203700S14530E,44
"[[145.5,-36.5],[146.0,-36.5],[146.0,-36.0],[145.5,-36.0],[145.5,-36.5]]",https://skyvector.com/?fpl=3630S14530E%203630S14600E%203600S14600E%203600S14530E%203630S14530E,22
"[[144.0,-37.0],[144.5,-37.0],[144.5,-36.5],[144.0,-36.5],[144.0,-37.0]]",https://skyvector.com/?fpl=3700S14400E%203700S14430E%203630S14430E%203630S14400E%203700S14400E,35
"[[144.0,-36.5],[144.5,-36.5],[144.5,-36.0],[144.0,-36.0],[144.0,-36.5]]",https://skyvector.com/?fpl=3630S14400E%203630S14430E%203600S14430E%203600S14400E%203630S14400E,16
"[[144.5,-37.0],[145.0,-37.0],[145.0,-36.5],[144.5,-36.5],[144.5,-37.0]]",https://skyvector.com/?fpl=3700S14430E%203700S14500E%203630S14500E%203630S14430E%203700S14430E,25
